id	Total spend	Sector	Venue	Number of courses 	Mini subscription or 5 day deal	Privilege card	subscription	Answertree	Building Predictive Models	Introduction to CHAID	Classification and Clustering	Data Entry	FastTrack	Intermediate Techniques	Introduction to SPSS	Introduction to SPSS and Statistics	Mapinfo	Perceptial Mapping	Market Segmentation	Neural Connections	Scripting	Introduction to Statistics	Tables	Time Series	ANOVA models
16	890	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
17	80.86	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	80.86	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	80.86	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	247.5	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
21	0	Central Gov\t'	SPSS WOKING	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
22	80.86	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	80.86	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	745	Health	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
25	695	Health	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
27	400	Commercial	IDM	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30	600	Commercial	SPSS WOKING	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	256.66	Commercial	SPSS WOKING	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	983.32	Commercial	SPSS WOKING	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
33	983.32	Commercial	SPSS WOKING	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
34	695	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
35	0	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
36	0	Commercial	SPSS WOKING	7	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0
37	80.86	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	545	Commercial	SPSS WOKING	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	145	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	145	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	895	Commercial	SPSS WOKING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	0	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
44	990	Commercial	SPSS WOKING	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
45	1090	Commercial	SPSS WOKING	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
46	545	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
47	790	Local Gov\t'	SPSS WOKING	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
48	695	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
49	745	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
50	695	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
51	895	Commercial	SPSS WOKING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	346.5	Education	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
53	195	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
54	545	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
55	545	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
57	345	Local Gov\t'	Edinburgh	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
59	890	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
61	1204.99	Commercial	SPSS WOKING	3	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
62	345	Health	Belfast	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
63	51544	Commercial	SPSS WOKING	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	695	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
65	295	Local Gov\t'	Edinburgh	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
75	145	Commercial	IDM	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	495	Commercial	Sheffield	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
78	690	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	695	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
83	895	Education	SPSS WOKING	4	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
84	0	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	1090	Central Gov\t'	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
86	800	Education	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	985	Education	SPSS WOKING	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
88	145	Education	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	495	Education	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
90	695	Education	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	345	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
94	545	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
95	345	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
96	545	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
97	345	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
98	490	Central Gov\t'	SPSS WOKING	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
99	545	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
101	545	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
102	545	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
103	345	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
104	545	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
105	345	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
106	345	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
107	295	Commercial	SPSS WOKING	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	295	Commercial	SPSS WOKING	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	545	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
110	790	Commercial	SPSS WOKING	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
111	495	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
112	990	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
113	895	Commercial	SPSS WOKING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	695	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
115	695	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
118	45	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	690	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
120	145	Health	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	0	Local Gov\t'	Edinburgh	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
122	80.86	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	80.86	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	80.86	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	545	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
126	1735	Commercial	SPSS WOKING	7	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0
127	695	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
128	495	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
129	0	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
130	1190	Commercial	SPSS WOKING	4	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
131	790	Commercial	SPSS WOKING	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
132	790	Commercial	SPSS WOKING	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
133	395	Commercial	SPSS WOKING	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
134	790	Central Gov\t'	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
135	345	Commercial	SPSS WOKING	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	490.5	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
137	490.5	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
138	1090	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
139	545	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
140	640	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
141	145	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	753.32	Commercial	SPSS WOKING	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
143	619.99	Commercial	SPSS WOKING	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
144	619.99	Commercial	SPSS WOKING	3	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
145	950	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	0	Health	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
147	295	Health	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
148	345	Health	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
149	545	Health	Sheffield	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
150	75	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	995	Central Gov\t'	SPSS WOKING	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
152	545	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
154	545	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
155	545	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
156	545	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
157	545	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
159	345	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
160	0	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
161	0	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
162	345	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
163	345	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
164	495	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
165	790	Commercial	SPSS WOKING	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
166	45	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167	345	Commercial	SPSS WOKING	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	590	Commercial	SPSS WOKING	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
169	245	Commercial	SPSS WOKING	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	4595	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	80.86	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	545	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
173	545	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
174	1190	Central Gov\t'	SPSS WOKING	8	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0
175	0	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
176	290	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	295	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
178	345	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
179	345	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
180	145	Education	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187	745	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
188	495	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
190	80.86	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	345	Commercial	Belfast	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
192	345	Commercial	Belfast	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
193	495	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
194	495	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
195	0	Local Gov\t'	Newcastle	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
196	75	Health	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197	745	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
198	345	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
199	617.5	Commercial	SPSS WOKING	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
200	1090	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
201	345	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
202	495	Commercial	SPSS WOKING	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203	1090	Commercial	SPSS WOKING	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
204	640	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
205	0	Commercial	SPSS WOKING	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
206	1740	Commercial	SPSS WOKING	5	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
208	745	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
209	445	Commercial	Sheffield	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
212	545	Commercial	Manchester	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
218	545	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
219	545	Commercial	Manchester	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
220	345	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
222	445	Commercial	Sheffield	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
223	545	Commercial	SPSS WOKING	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
224	375	Health	SPSS WOKING	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
225	375	Health	SPSS WOKING	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
226	375	Health	SPSS WOKING	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
227	205	Health	Edinburgh	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
228	375	Health	SPSS WOKING	4	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
229	375	Health	SPSS WOKING	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
230	375	Health	SPSS WOKING	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
231	375	Health	SPSS WOKING	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
232	375	Health	SPSS WOKING	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
233	345	Education	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
234	495	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
235	495	Commercial	Sheffield	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
236	145	Health	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
241	545	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
242	290	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	835	Commercial	SPSS WOKING	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
244	640	Commercial	SPSS WOKING	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
245	545	Commercial	SPSS WOKING	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
246	345	Health	Newcastle	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
247	145	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
251	295	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
252	295	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
253	495	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
254	295	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
255	345	Health	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
256	345	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
257	145	Education	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
258	145	Education	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
259	345	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
260	995	Local Gov\t'	SPSS WOKING	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
261	345	Local Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
262	495	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
263	250	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
264	495	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
265	695	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
266	145	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
267	695	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
